,Emotion,Path,Gender
0,Disgust,SAVEE/DC_a01.wav,Male
1,Disgust,SAVEE/DC_a02.wav,Male
2,Disgust,SAVEE/DC_a03.wav,Male
3,Disgust,SAVEE/DC_a04.wav,Male
4,Disgust,SAVEE/DC_a05.wav,Male
5,Disgust,SAVEE/DC_a06.wav,Male
6,Disgust,SAVEE/DC_a07.wav,Male
7,Disgust,SAVEE/DC_a08.wav,Male
8,Disgust,SAVEE/DC_a09.wav,Male
9,Disgust,SAVEE/DC_a10.wav,Male
10,Disgust,SAVEE/DC_a11.wav,Male
11,Disgust,SAVEE/DC_a12.wav,Male
12,Disgust,SAVEE/DC_a13.wav,Male
13,Disgust,SAVEE/DC_a14.wav,Male
14,Disgust,SAVEE/DC_a15.wav,Male
15,Fear,SAVEE/DC_f01.wav,Male
16,Fear,SAVEE/DC_f02.wav,Male
17,Fear,SAVEE/DC_f03.wav,Male
18,Fear,SAVEE/DC_f04.wav,Male
19,Fear,SAVEE/DC_f05.wav,Male
20,Fear,SAVEE/DC_f06.wav,Male
21,Fear,SAVEE/DC_f07.wav,Male
22,Fear,SAVEE/DC_f08.wav,Male
23,Fear,SAVEE/DC_f09.wav,Male
24,Fear,SAVEE/DC_f10.wav,Male
25,Fear,SAVEE/DC_f11.wav,Male
26,Fear,SAVEE/DC_f12.wav,Male
27,Fear,SAVEE/DC_f13.wav,Male
28,Fear,SAVEE/DC_f14.wav,Male
29,Fear,SAVEE/DC_f15.wav,Male
30,Happy,SAVEE/DC_h01.wav,Male
31,Happy,SAVEE/DC_h02.wav,Male
32,Happy,SAVEE/DC_h03.wav,Male
33,Happy,SAVEE/DC_h04.wav,Male
34,Happy,SAVEE/DC_h05.wav,Male
35,Happy,SAVEE/DC_h06.wav,Male
36,Happy,SAVEE/DC_h07.wav,Male
37,Happy,SAVEE/DC_h08.wav,Male
38,Happy,SAVEE/DC_h09.wav,Male
39,Happy,SAVEE/DC_h10.wav,Male
40,Happy,SAVEE/DC_h11.wav,Male
41,Happy,SAVEE/DC_h12.wav,Male
42,Happy,SAVEE/DC_h13.wav,Male
43,Happy,SAVEE/DC_h14.wav,Male
44,Happy,SAVEE/DC_h15.wav,Male
45,Neutral,SAVEE/DC_n01.wav,Male
46,Neutral,SAVEE/DC_n02.wav,Male
47,Neutral,SAVEE/DC_n03.wav,Male
48,Neutral,SAVEE/DC_n04.wav,Male
49,Neutral,SAVEE/DC_n05.wav,Male
50,Neutral,SAVEE/DC_n06.wav,Male
51,Neutral,SAVEE/DC_n07.wav,Male
52,Neutral,SAVEE/DC_n08.wav,Male
53,Neutral,SAVEE/DC_n09.wav,Male
54,Neutral,SAVEE/DC_n10.wav,Male
55,Neutral,SAVEE/DC_n11.wav,Male
56,Neutral,SAVEE/DC_n12.wav,Male
57,Neutral,SAVEE/DC_n13.wav,Male
58,Neutral,SAVEE/DC_n14.wav,Male
59,Neutral,SAVEE/DC_n15.wav,Male
60,Neutral,SAVEE/DC_n16.wav,Male
61,Neutral,SAVEE/DC_n17.wav,Male
62,Neutral,SAVEE/DC_n18.wav,Male
63,Neutral,SAVEE/DC_n19.wav,Male
64,Neutral,SAVEE/DC_n20.wav,Male
65,Neutral,SAVEE/DC_n21.wav,Male
66,Neutral,SAVEE/DC_n22.wav,Male
67,Neutral,SAVEE/DC_n23.wav,Male
68,Neutral,SAVEE/DC_n24.wav,Male
69,Neutral,SAVEE/DC_n25.wav,Male
70,Neutral,SAVEE/DC_n26.wav,Male
71,Neutral,SAVEE/DC_n27.wav,Male
72,Neutral,SAVEE/DC_n28.wav,Male
73,Neutral,SAVEE/DC_n29.wav,Male
74,Neutral,SAVEE/DC_n30.wav,Male
75,Sad,SAVEE/DC_sa01.wav,Male
76,Sad,SAVEE/DC_sa02.wav,Male
77,Sad,SAVEE/DC_sa03.wav,Male
78,Sad,SAVEE/DC_sa04.wav,Male
79,Sad,SAVEE/DC_sa05.wav,Male
80,Sad,SAVEE/DC_sa06.wav,Male
81,Sad,SAVEE/DC_sa07.wav,Male
82,Sad,SAVEE/DC_sa08.wav,Male
83,Sad,SAVEE/DC_sa09.wav,Male
84,Sad,SAVEE/DC_sa10.wav,Male
85,Sad,SAVEE/DC_sa11.wav,Male
86,Sad,SAVEE/DC_sa12.wav,Male
87,Sad,SAVEE/DC_sa13.wav,Male
88,Sad,SAVEE/DC_sa14.wav,Male
89,Sad,SAVEE/DC_sa15.wav,Male
90,Surprising,SAVEE/DC_su01.wav,Male
91,Surprising,SAVEE/DC_su02.wav,Male
92,Surprising,SAVEE/DC_su03.wav,Male
93,Surprising,SAVEE/DC_su04.wav,Male
94,Surprising,SAVEE/DC_su05.wav,Male
95,Surprising,SAVEE/DC_su06.wav,Male
96,Surprising,SAVEE/DC_su07.wav,Male
97,Surprising,SAVEE/DC_su08.wav,Male
98,Surprising,SAVEE/DC_su09.wav,Male
99,Surprising,SAVEE/DC_su10.wav,Male
100,Surprising,SAVEE/DC_su11.wav,Male
101,Surprising,SAVEE/DC_su12.wav,Male
102,Surprising,SAVEE/DC_su13.wav,Male
